id,region,station_name,normalized_name
237,Moravskoslezsky,"Luisino údolí, Deštné v Orlických horách, okres: Rychnov nad Kněžnou","Luisinoudoli,DestnevOrlickychhorach,okres:RychnovnadKneznou"
238,Moravskoslezsky,"Rokytnice v Orlic.horách, okres: Rychnov nad Kněžnou","RokytnicevOrlic.horach,okres:RychnovnadKneznou"
239,Moravskoslezsky,"Rychnov nad Kněžnou, okres: Rychnov nad Kněžnou","RychnovnadKneznou,okres:RychnovnadKneznou"
240,Moravskoslezsky,"Dvůr Králové nad Labem, okres: Trutnov","DvurKralovenadLabem,okres:Trutnov"
241,Moravskoslezsky,"Janské Lázně, okres: Trutnov","JanskeLazne,okres:Trutnov"
242,Moravskoslezsky,"Labská bouda, okres: Trutnov","Labskabouda,okres:Trutnov"
243,Moravskoslezsky,"Luční bouda, okres: Trutnov","Lucnibouda,okres:Trutnov"
244,Moravskoslezsky,"Pec pod Sněžkou, okres: Trutnov","PecpodSnezkou,okres:Trutnov"
245,Moravskoslezsky,"Sněžka, Poštovna, okres: Trutnov","Snezka,Postovna,okres:Trutnov"
246,Moravskoslezsky,"Špindlerův Mlýn, přehrada Labská, okres: Trutnov","SpindleruvMlyn,prehradaLabska,okres:Trutnov"
247,Moravskoslezsky,"Trutnov, okres: Trutnov","Trutnov,okres:Trutnov"
248,Moravskoslezsky,"Úpice, okres: Trutnov","Upice,okres:Trutnov"
249,Moravskoslezsky,"Úpice, hvězdárna, okres: Trutnov","Upice,hvezdarna,okres:Trutnov"
250,Moravskoslezsky,"Vrchlabí, okres: Trutnov","Vrchlabi,okres:Trutnov"
251,Moravskoslezsky,"Žacléř, okres: Trutnov","Zacler,okres:Trutnov"
252,Olomoucky,"Chrudim, okres: Chrudim","Chrudim,okres:Chrudim"
253,Olomoucky,"Krásné, okres: Chrudim","Krasne,okres:Chrudim"
254,Olomoucky,"Seč, okres: Chrudim","Sec,okres:Chrudim"
255,Olomoucky,"Skuteč, okres: Chrudim","Skutec,okres:Chrudim"
256,Olomoucky,"Svratouch, okres: Chrudim","Svratouch,okres:Chrudim"
257,Olomoucky,"Zaječice, okres: Chrudim","Zajecice,okres:Chrudim"
258,Olomoucky,"Mokošín, okres: Pardubice","Mokosin,okres:Pardubice"
259,Olomoucky,"Poběžovice u Holic, okres: Pardubice","PobezoviceuHolic,okres:Pardubice"
260,Olomoucky,"Přelouč, okres: Pardubice","Prelouc,okres:Pardubice"
261,Olomoucky,"Gajer, Janov, okres: Svitavy","Gajer,Janov,okres:Svitavy"
262,Olomoucky,"Jevíčko, okres: Svitavy","Jevicko,okres:Svitavy"
263,Olomoucky,"Jevíčko, Biskupice, okres: Svitavy","Jevicko,Biskupice,okres:Svitavy"
264,Olomoucky,"Jevíčko, Předměstí, okres: Svitavy","Jevicko,Predmesti,okres:Svitavy"
265,Olomoucky,"Litomyšl, okres: Svitavy","Litomysl,okres:Svitavy"
266,Olomoucky,"Nedvězí, okres: Svitavy","Nedvezi,okres:Svitavy"
267,Olomoucky,"Staré Město, okres: Svitavy","StareMesto,okres:Svitavy"
268,Olomoucky,"Třebařov, okres: Svitavy","Trebarov,okres:Svitavy"
269,Olomoucky,"Zadní Arnoštov, okres: Svitavy","ZadniArnostov,okres:Svitavy"
270,Olomoucky,"Dolní Morava, Slaměnka, okres: Ústí nad Orlicí","DolniMorava,Slamenka,okres:UstinadOrlici"
271,Olomoucky,"Hrušová, okres: Ústí nad Orlicí","Hrusova,okres:UstinadOrlici"
272,Olomoucky,"Jablonné nad Orlicí, okres: Ústí nad Orlicí","JablonnenadOrlici,okres:UstinadOrlici"
273,Olomoucky,"Králický Sněžník, okres: Ústí nad Orlicí","KralickySneznik,okres:UstinadOrlici"
274,Olomoucky,"Králíky, okres: Ústí nad Orlicí","Kraliky,okres:UstinadOrlici"
275,Olomoucky,"Lanškroun, okres: Ústí nad Orlicí","Lanskroun,okres:UstinadOrlici"
276,Olomoucky,"Nekoř, okres: Ústí nad Orlicí","Nekor,okres:UstinadOrlici"
277,Olomoucky,"Ústí nad Orlicí, okres: Ústí nad Orlicí","UstinadOrlici,okres:UstinadOrlici"
278,Olomoucky,"Žamberk, okres: Ústí nad Orlicí","Zamberk,okres:UstinadOrlici"
279,Pardubicky,"Havlíčkův Brod, okres: Havlíčkův Brod","HavlickuvBrod,okres:HavlickuvBrod"
280,Pardubicky,"Chotěboř, okres: Havlíčkův Brod","Chotebor,okres:HavlickuvBrod"
281,Pardubicky,"Kožlí, okres: Havlíčkův Brod","Kozli,okres:HavlickuvBrod"
282,Pardubicky,"Libice nad Doubravou, okres: Havlíčkův Brod","LibicenadDoubravou,okres:HavlickuvBrod"
283,Pardubicky,"Přibyslav, Hřiště, okres: Havlíčkův Brod","Pribyslav,Hriste,okres:HavlickuvBrod"
284,Pardubicky,"Hubenov, okres: Jihlava","Hubenov,okres:Jihlava"
285,Pardubicky,"Jihlava, okres: Jihlava","Jihlava,okres:Jihlava"
286,Pardubicky,"Jihlava, Hruškové Dvory, okres: Jihlava","Jihlava,HruskoveDvory,okres:Jihlava"
287,Pardubicky,"Kostelní Myslová, okres: Jihlava","KostelniMyslova,okres:Jihlava"
288,Pardubicky,"Puklice, okres: Jihlava","Puklice,okres:Jihlava"
289,Pardubicky,"Černovice, okres: Pelhřimov","Cernovice,okres:Pelhrimov"
290,Pardubicky,"Černovice, Dobešov, okres: Pelhřimov","Cernovice,Dobesov,okres:Pelhrimov"
291,Pardubicky,"Košetice, okres: Pelhřimov","Kosetice,okres:Pelhrimov"
292,Pardubicky,"Košetice, Křešín, Kramolín, okres: Pelhřimov","Kosetice,Kresin,Kramolin,okres:Pelhrimov"
